id,employee_code,job_title,gender,current_age,retirement_age,hire_date,years_at_company,year_at_company_calc,education_level_id,department_id,employee_status_id
fa193344-0c6d-40c7-9123-394aaa23cca0,1,Specialist,Male,55,60,2022-01-19,2,4,b052f83e-ff36-4224-a96d-5a5800b397d8,13648429-d420-4c79-98fc-78ea408e550b,9f73b6ec-7eac-4987-9316-7252d5f4a263
3b1e7446-21ee-4092-8e38-49ada9ae6795,2,Developer,Male,29,60,2024-04-18,0,2,b052f83e-ff36-4224-a96d-5a5800b397d8,9f2ff62e-f98e-4cc4-80ef-2c2d8e6968e2,9f73b6ec-7eac-4987-9316-7252d5f4a263
d749b99c-43c8-4008-a4d4-03bcf40b7aeb,3,Specialist,Male,55,60,2015-10-26,8,11,b052f83e-ff36-4224-a96d-5a5800b397d8,9f2ff62e-f98e-4cc4-80ef-2c2d8e6968e2,9f73b6ec-7eac-4987-9316-7252d5f4a263
f67611a1-0f5f-4355-969c-13752e2e147e,4,Analyst,Female,48,60,2016-10-22,7,10,9fa0b992-c732-4b5a-b6bb-ff08e76e082c,eb9f45c9-baf0-4e31-bc1c-f6407b1a62fb,9f73b6ec-7eac-4987-9316-7252d5f4a263
5055e966-66b3-4e9a-a32a-b9eb41db9dd8,5,Analyst,Female,36,60,2021-07-23,3,5,9fa0b992-c732-4b5a-b6bb-ff08e76e082c,a6b7aea3-cb03-422c-80ef-c06dfdd78466,9f73b6ec-7eac-4987-9316-7252d5f4a263
820e0492-893b-41de-a184-3a001b461a67,6,Manager,Male,43,60,2016-08-14,8,10,b052f83e-ff36-4224-a96d-5a5800b397d8,13648429-d420-4c79-98fc-78ea408e550b,9f73b6ec-7eac-4987-9316-7252d5f4a263
172e1226-e04d-47c2-846e-4b883838c585,7,Technician,Male,37,60,2023-08-28,1,3,9fa0b992-c732-4b5a-b6bb-ff08e76e082c,13648429-d420-4c79-98fc-78ea408e550b,9f73b6ec-7eac-4987-9316-7252d5f4a263
8bb7242b-4c6b-4f92-afd7-8dab2334587f,8,Engineer,Female,55,60,2014-10-27,9,12,9fa0b992-c732-4b5a-b6bb-ff08e76e082c,a6b7aea3-cb03-422c-80ef-c06dfdd78466,9f73b6ec-7eac-4987-9316-7252d5f4a263
1417eb6f-9822-4748-81f3-3499601892ac,9,Technician,Female,55,60,2023-06-29,1,3,b052f83e-ff36-4224-a96d-5a5800b397d8,e414df9d-2099-4f31-a3f0-3dea8cb53ae4,9f73b6ec-7eac-4987-9316-7252d5f4a263
dd6490da-ca07-4e86-a2e5-1d39ececca0d,10,Consultant,Female,45,60,2016-12-23,7,10,9fa0b992-c732-4b5a-b6bb-ff08e76e082c,a6b7aea3-cb03-422c-80ef-c06dfdd78466,9f73b6ec-7eac-4987-9316-7252d5f4a263
782bbb40-edd1-4431-ba49-a37473b5b3c1,11,Engineer,Male,52,60,2019-11-26,4,7,9fa0b992-c732-4b5a-b6bb-ff08e76e082c,eb9f45c9-baf0-4e31-bc1c-f6407b1a62fb,9f73b6ec-7eac-4987-9316-7252d5f4a263
ed8dca4d-5aae-4f9c-bfe7-05721346133d,12,Technician,Male,27,60,2015-02-19,9,11,9fa0b992-c732-4b5a-b6bb-ff08e76e082c,eb9f45c9-baf0-4e31-bc1c-f6407b1a62fb,9f73b6ec-7eac-4987-9316-7252d5f4a263
d806879a-efbd-46b6-8686-1791adfe8eeb,13,Technician,Male,51,60,2019-07-04,5,7,9fa0b992-c732-4b5a-b6bb-ff08e76e082c,9a8dbd77-7e46-4f5f-9c5a-0e3497334021,9f73b6ec-7eac-4987-9316-7252d5f4a263
64246226-09de-4469-afa8-bdaa1694b7a1,14,Analyst,Male,27,60,2014-10-14,9,12,9fa0b992-c732-4b5a-b6bb-ff08e76e082c,a6b7aea3-cb03-422c-80ef-c06dfdd78466,9f73b6ec-7eac-4987-9316-7252d5f4a263
bf8ddbe2-62de-463d-81d6-dc7fc240f211,15,Analyst,Male,46,60,2023-03-11,1,3,9356cec7-c0e2-426a-9123-7343636f531e,9f2ff62e-f98e-4cc4-80ef-2c2d8e6968e2,9f73b6ec-7eac-4987-9316-7252d5f4a263
3c4ec859-250d-4ef5-872e-eb99874a68ce,16,Developer,Male,26,60,2023-04-19,1,3,b052f83e-ff36-4224-a96d-5a5800b397d8,eb9f45c9-baf0-4e31-bc1c-f6407b1a62fb,9f73b6ec-7eac-4987-9316-7252d5f4a263
eb5ea85e-c080-4d20-9415-a1ab8f519a64,17,Engineer,Male,29,60,2019-09-21,4,7,9fa0b992-c732-4b5a-b6bb-ff08e76e082c,9d65e012-0186-4199-ba57-8b5398c59a39,9f73b6ec-7eac-4987-9316-7252d5f4a263
d3c4c28d-e1da-48af-881e-dfb9d7eba21d,18,Developer,Other,28,60,2022-11-08,1,4,b052f83e-ff36-4224-a96d-5a5800b397d8,e8869621-3105-4e82-b472-a4a35dfb44fb,9f73b6ec-7eac-4987-9316-7252d5f4a263
a1b35159-a4cd-4489-bcfb-5cbaccb2e859,19,Developer,Other,56,60,2015-10-01,8,11,9fa0b992-c732-4b5a-b6bb-ff08e76e082c,eb9f45c9-baf0-4e31-bc1c-f6407b1a62fb,9f73b6ec-7eac-4987-9316-7252d5f4a263
81209945-ccac-409a-9378-7fff65053a42,20,Technician,Male,23,60,2015-05-08,9,11,b052f83e-ff36-4224-a96d-5a5800b397d8,9f2ff62e-f98e-4cc4-80ef-2c2d8e6968e2,9f73b6ec-7eac-4987-9316-7252d5f4a263
ed536a8c-6eea-4bc4-bd25-b9b18693a48c,21,Manager,Female,33,60,2022-12-19,1,4,9fa0b992-c732-4b5a-b6bb-ff08e76e082c,9d65e012-0186-4199-ba57-8b5398c59a39,9f73b6ec-7eac-4987-9316-7252d5f4a263
b94a0780-4155-47ae-a8e6-9e59c2993e11,22,Manager,Male,59,60,2017-05-25,7,9,9356cec7-c0e2-426a-9123-7343636f531e,e8869621-3105-4e82-b472-a4a35dfb44fb,9f73b6ec-7eac-4987-9316-7252d5f4a263
1ed3d628-d930-44f1-86d5-0d69b6a29330,23,Specialist,Male,26,60,2016-07-23,8,10,b052f83e-ff36-4224-a96d-5a5800b397d8,9f2ff62e-f98e-4cc4-80ef-2c2d8e6968e2,9f73b6ec-7eac-4987-9316-7252d5f4a263
